organization_id,sales_order,date_create,status,code,client_id,tvz_id,cost_price,price_b2b_gross,price_b2c_gross,quantity
1,2051016982,2022-06-01T11:20:02.802,0,4006,48688,1037,508.94,452.13,486.04,12
5,2051016983,2022-06-01T11:30:02.631,0,58057,41410,3563,619.99,710.07,759.78,2
2,2051016984,2022-06-01T11:30:03.129,0,41217,65115,1699,436.47,505.36,542.08,1
1,2051016985,2022-06-01T11:41:01.684,0,48552,27964,522,387.67,485.21,521.61,1
1,2051016986,2022-06-01T11:41:02.005,0,53577,66132,945,118.14,210.53,226.32,1
1,2051016987,2022-06-01T11:41:02.370,0,7540,27860,786,52.89,92.23,99.15,1
1,2051016987,2022-06-01T11:41:02.370,0,59047,27860,786,615.73,706.04,755.47,1
1,2051016988,2022-06-01T11:51:02.934,0,58310,47983,736,571.02,833.96,892.34,1
2,2051016989,2022-06-01T12:02:02.364,0,52044,5165,2544,596.89,704.76,757.62,2
1,2051016990,2022-06-01T12:02:02.758,0,51879,9849,851,316.96,340.43,364.26,1
1,2051016991,2022-06-01T12:12:02.584,0,383,33043,1487,436.27,564.41,606.75,1
1,2051016992,2022-06-01T12:12:02.938,1,45814,45162,9,729.16,918.30,987.17,1
1,2051016993,2022-06-01T12:23:02.419,0,55520,24285,1172,421.17,474.19,509.75,1
2,2051016994,2022-06-01T12:44:02.330,0,61542,56352,2646,13.47,35.25,37.72,20
5,2051016995,2022-06-01T12:54:02.519,0,4006,53476,4121,508.94,453.14,487.12,1
1,2051016996,2022-06-01T12:54:03.065,0,54583,16041,746,139.51,236.59,254.34,2
1,2051016997,2022-06-01T12:54:03.497,2,41867,69391,626,551.03,675.70,726.37,1
1,2051016997,2022-06-01T12:54:03.497,2,41637,69391,626,657.40,1190.50,1273.84,1
1,2061089061,2022-06-01T13:02:08.621,0,14252,73718,130,60.22,70.93,89.45,3
1,2051016998,2022-06-01T13:05:02.468,0,64880,12338,466,620.81,930.65,995.79,1
1,2051016999,2022-06-01T13:05:02.997,0,20289,61915,803,883.89,1102.88,1180.08,1
1,2051017000,2022-06-01T13:16:01.824,0,65775,46166,744,270.15,540.87,578.72,1
13,2051017001,2022-06-01T14:08:02.313,2,49837,51950,7360,199.32,246.62,265.11,2
13,2051017001,2022-06-01T14:08:02.313,2,58868,51950,7360,4077.18,4826.73,5140.63,2
1,2051017002,2022-06-01T14:18:02.666,0,39391,30055,543,614.64,710.78,764.09,1
1,2051017003,2022-06-01T14:40:01.965,0,45562,23988,568,48.15,53.72,65.74,4
1,2051017004,2022-06-01T15:02:03.002,0,48950,22969,1167,82.17,96.15,115.31,2
1,2051017004,2022-06-01T15:02:03.002,0,66520,22969,1167,74.31,88.31,96.99,3
1,2051017005,2022-06-01T15:33:02.703,0,54781,36002,1630,247.28,294.15,323.31,1
1,2051017005,2022-06-01T15:33:02.703,0,53933,36002,1630,224.71,271.95,290.98,1
1,2051017005,2022-06-01T15:33:02.703,0,2571,36002,1630,12.93,26.07,28.02,45
1,2051017005,2022-06-01T15:33:02.703,0,7256,36002,1630,145.40,170.54,184.29,1
1,2051017005,2022-06-01T15:33:02.703,0,65409,36002,1630,76.89,86.68,104.54,4
1,2051017006,2022-06-01T15:33:03.631,0,45296,25949,266,154.05,175.38,202.61,1
1,2051017006,2022-06-01T15:33:03.631,0,6543,25949,266,37.96,45.86,54.96,1
1,2051017006,2022-06-01T15:33:03.631,0,14251,25949,266,30.37,56.72,70.05,1
2,2051017007,2022-06-01T15:43:07.113,3,3485,54100,2456,192.54,239.70,256.49,2
1,2051017008,2022-06-01T15:54:02.477,0,22000,25914,1332,469.36,577.12,617.52,3
1,2051017009,2022-06-01T15:54:02.897,0,48698,27839,147,470.25,612.53,658.47,1
5,2051017010,2022-06-01T15:54:03.490,0,2448,37565,3344,256.13,308.77,331.93,2
5,2051017011,2022-06-01T16:05:02.223,0,55238,65934,3900,3135.19,3842.63,4130.82,1
1,2051017012,2022-06-01T16:05:02.709,0,56908,68363,1025,595.29,887.34,949.45,1
1,2051017013,2022-06-01T16:05:03.113,0,2314,22469,834,256.82,314.01,338.40,1
1,2051017014,2022-06-01T16:05:04.164,0,43837,29853,640,1162.82,1471.69,1582.06,1
13,2051017015,2022-06-01T16:05:04.578,0,55750,1315,7356,43.22,116.56,145.49,2
1,2051017016,2022-06-01T16:26:02.889,0,46534,44983,175,406.78,479.20,515.14,1
1,2051017016,2022-06-01T16:26:02.889,0,5450,44983,175,260.43,480.20,516.22,1
2,2051017017,2022-06-01T16:26:03.757,0,212,16503,1711,393.10,452.13,486.04,1
2,2051017018,2022-06-01T16:26:04.372,0,46805,16734,2669,155.56,210.53,226.32,1
1,2051017019,2022-06-01T16:26:05.177,0,46534,44983,175,406.78,479.20,515.14,1
1,2051017019,2022-06-01T16:26:05.177,0,5450,44983,175,260.43,480.20,516.22,1
1,2051017020,2022-06-01T16:26:05.962,0,41710,25267,1078,8942.75,10328.88,11052.89,1
2,2051017021,2022-06-01T16:26:06.488,0,42911,71081,2315,1737.06,1987.98,2137.08,1
1,2051017022,2022-06-01T16:47:02.999,0,65775,31059,954,270.15,540.87,578.72,3
1,2051017023,2022-06-01T16:47:03.458,1,13947,69520,124,898.04,1020.56,1097.10,1
2,2051017024,2022-06-01T16:47:03.864,0,40200,70845,2510,465.18,563.41,605.67,1
1,2051017025,2022-06-01T16:47:04.296,1,48081,70438,838,42.30,56.95,62.51,2
1,2051017025,2022-06-01T16:47:04.296,1,45517,70438,838,45.46,56.13,65.74,2
1,2051017026,2022-06-01T16:58:03.394,0,19130,5864,875,407.86,438.10,470.95,1
1,2051017026,2022-06-01T16:58:03.394,0,66207,5864,875,467.37,616.40,659.55,1
1,2051017026,2022-06-01T16:58:03.394,0,65727,5864,875,313.51,376.95,405.22,1
1,2051017026,2022-06-01T16:58:03.394,0,1142,5864,875,21.74,27.08,65.74,1
1,2051017027,2022-06-01T16:58:04.392,1,4056,42634,526,793.70,1289.23,1385.92,1
5,2051017028,2022-06-01T16:58:04.918,0,38824,57054,3870,100.47,117.94,141.18,1
5,2051017028,2022-06-01T16:58:04.918,0,19130,57054,3870,407.86,434.09,466.64,1
5,2051017029,2022-06-01T17:09:03.078,0,61148,20035,3721,584.54,538.85,576.57,1
1,2051017030,2022-06-01T17:09:03.798,0,19800,797,990,198.30,238.82,285.59,1
1,2051017031,2022-06-01T17:09:04.183,0,39898,55037,433,116.52,120.17,148.72,4
5,2051017032,2022-06-01T17:31:02.993,0,40821,39648,3569,541.60,604.51,649.85,2
5,2051017033,2022-06-01T17:31:03.283,0,65395,53773,3683,1388.85,1503.03,1637.03,1
5,2051017034,2022-06-01T17:52:02.569,1,60896,41064,3500,1268.74,1558.89,1682.29,1
1,2051017035,2022-06-01T18:03:02.977,0,45931,28564,592,144.33,167.77,185.36,2
1,2051017036,2022-06-01T18:03:03.380,0,6207,64879,1069,42.58,60.15,64.66,1
1,2051017036,2022-06-01T18:03:03.380,0,63930,64879,1069,207.30,235.68,252.18,1
1,2051017037,2022-06-01T18:03:03.755,0,6229,31262,471,193.99,240.61,258.65,4
1,2051017038,2022-06-01T18:14:07.887,1,64829,48429,874,258.37,306.26,329.78,1
1,2051017038,2022-06-01T18:14:07.887,1,47059,48429,874,32.33,56.14,60.35,1
5,2051017039,2022-06-01T18:14:08.379,0,62768,50353,3239,1094.34,1310.69,1397.78,1
1,2051017040,2022-06-01T18:14:08.813,0,48192,26943,1125,808.52,877.19,942.99,1
1,2051017040,2022-06-01T18:14:08.813,0,332,26943,1125,856.49,1080.71,1161.76,1
1,2051017041,2022-06-01T18:14:09.342,0,65726,32668,598,390.63,551.94,590.58,1
1,2051017042,2022-06-01T18:25:02.020,3,48968,2969,1176,111.54,138.69,165.97,4
1,2051017043,2022-06-01T18:36:02.935,0,22451,11481,1013,1767.08,2050.14,2203.90,1
5,2051017044,2022-06-01T18:36:03.275,1,15268,8279,3633,390.96,449.21,480.65,1
